; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
; 
; File Generated 12-Apr-2019 - Updated 19-Jun-2020
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.420613e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
51.5	4.8975E-13	9.9416E-15	4.6841E-15
51.6	4.8472E-13	9.9514E-15	4.6605E-15
51.7	5.4362E-13	1.1390E-14	5.2765E-15
51.8	4.9858E-13	1.0716E-14	4.8968E-15
51.9	4.5629E-13	1.0057E-14	4.5340E-15
52	5.0907E-13	1.1504E-14	5.1175E-15
52.1	4.6666E-13	1.0809E-14	4.7453E-15
52.2	4.9327E-13	1.1709E-14	5.0733E-15
52.3	4.8429E-13	1.1779E-14	5.0374E-15
52.4	4.9941E-13	1.2443E-14	5.2531E-15
52.5	5.0023E-13	1.2750E-14	5.3176E-15
52.6	5.1345E-13	1.3385E-14	5.5156E-15
52.7	5.4279E-13	1.4469E-14	5.8914E-15
52.8	4.8001E-13	1.3082E-14	5.2639E-15
52.9	5.8561E-13	1.6314E-14	6.4877E-15
53	5.0039E-13	1.4247E-14	5.5999E-15
53.1	4.2864E-13	1.2470E-14	4.8452E-15
53.2	5.3403E-13	1.5863E-14	6.0953E-15
53.3	2.9359E-13	8.8809E-15	3.3794E-15
53.4	5.8299E-13	1.7955E-14	6.7669E-15
53.5	7.0021E-13	2.1955E-14	8.1955E-15
53.6	9.0503E-13	2.8885E-14	1.0681E-14
53.7	1.0283E-12	3.3403E-14	1.2236E-14
53.8	6.8829E-13	2.2752E-14	8.2565E-15
53.9	8.6725E-13	2.9169E-14	1.0487E-14
